stringId	preferredName
ENSP00000347244	ITSN2
ENSP00000252543	RPL36
ENSP00000371805	FBXL18
ENSP00000359727	BAG2
ENSP00000374529	CCNK
ENSP00000367747	PLCH2
ENSP00000364289	NCBP1
ENSP00000350199	AP1B1
ENSP00000342667	RNF19A
ENSP00000354681	OPA1
ENSP00000378897	ASAH2
ENSP00000376609	GRK5
ENSP00000219473	USP10
ENSP00000244426	FBXO9
ENSP00000317780	COX5A
ENSP00000263857	POLR1A
ENSP00000264033	CBL
ENSP00000312735	POLR2B
ENSP00000360798	EPS15
ENSP00000370571	TH
ENSP00000313199	HNRNPD
ENSP00000350331	ASB13
ENSP00000264896	SCARB2
ENSP00000250784	RPS4Y1
ENSP00000430432	HDAC2
ENSP00000357711	S100A7
ENSP00000376024	SNX9
ENSP00000318486	CDK5R1
ENSP00000462986	PABPC4L
ENSP00000315137	SGPP2
ENSP00000297185	HSPA9
ENSP00000381102	TMEM55B
ENSP00000267023	NABP2
ENSP00000348632	RBCK1
ENSP00000220751	RIPK2
ENSP00000452401	ENSG00000258989
ENSP00000222219	DNASE2
ENSP00000333667	SHMT2
ENSP00000225512	WNT3
ENSP00000365757	PIP4K2A
ENSP00000323879	ZNRF2
ENSP00000346015	RPL27A
ENSP00000369855	ASB9
ENSP00000340737	INTS12
ENSP00000386531	SMPD4
ENSP00000240139	PPP3CC
ENSP00000325421	PARL
ENSP00000318128	BLOC1S4
ENSP00000357360	MTX1
ENSP00000362744	RPS4X
ENSP00000355195	ASB12
ENSP00000263331	POLR1B
ENSP00000360116	UBE2U
ENSP00000362824	OGT
ENSP00000264157	CCNT2
ENSP00000412788	PTBP2
ENSP00000379895	GATM
ENSP00000264018	DDX6
ENSP00000338413	UBA1
ENSP00000012443	PPP5C
ENSP00000468280	ENSG00000267318
ENSP00000270349	SLC6A3
ENSP00000339917	TAF9B
ENSP00000327889	INTS5
ENSP00000306920	GLB1
ENSP00000265970	PIK3C2A
ENSP00000367802	TAF1C
ENSP00000362014	DNM1
ENSP00000445677	CLTCL1
ENSP00000454071	LDLR
ENSP00000269349	EIF4A3
ENSP00000340271	TAF3
ENSP00000269122	CLTC
ENSP00000216294	SNAPC1
ENSP00000370200	SNAPC3
ENSP00000381824	SAC3D1
ENSP00000343298	LRRC41
ENSP00000364119	EIF2S2
ENSP00000247161	ELK1
ENSP00000357555	RPS27
ENSP00000410076	CASP1
ENSP00000278823	MTA2
ENSP00000366988	SNX5
ENSP00000216034	TOMM22
ENSP00000384273	RELA
ENSP00000369530	ALOX15B
ENSP00000340823	GTF2F2
ENSP00000362621	PABPC1L2B
ENSP00000248553	HSPB1
ENSP00000316054	DVL3
ENSP00000363036	FBXW2
ENSP00000318775	ANAPC4
ENSP00000378160	RPL34
ENSP00000302961	HSPA4
ENSP00000264864	PI4K2B
ENSP00000289153	PIK3CB
ENSP00000265753	EIF4H
ENSP00000358283	UFL1
ENSP00000379847	ZNF143
ENSP00000353344	ETS2
ENSP00000359345	RPL5
ENSP00000384610	PNPLA7
ENSP00000400113	ZDHHC13
ENSP00000362649	HDAC1
ENSP00000388996	AP1M1
ENSP00000339532	THUMPD3
ENSP00000265339	UBE2B
ENSP00000253023	UBE2M
ENSP00000339095	RPS7
ENSP00000367034	HIST1H4C
ENSP00000360525	MAGOH
ENSP00000434142	TPD52L1
ENSP00000260983	HECW2
ENSP00000458238	PI4KA
ENSP00000258416	EIF4E2
ENSP00000275699	ASB15
ENSP00000252818	JUND
ENSP00000351552	GATAD2A
ENSP00000348578	G3BP1
ENSP00000367220	ACTR2
ENSP00000447001	RPL18
ENSP00000365844	TRIM39
ENSP00000263956	GTF3C3
ENSP00000244769	ATXN1
ENSP00000316779	BIN1
ENSP00000265354	SRF
ENSP00000350990	TNKS1BP1
ENSP00000369666	FBXL19
ENSP00000253794	VPS25
ENSP00000301072	TUBA1C
ENSP00000358151	HIST2H2BE
ENSP00000348089	ERCC6
ENSP00000346037	RPLP1
ENSP00000279230	PLCB3
ENSP00000264951	XRN1
ENSP00000308405	H2AFV
ENSP00000385045	MTA3
ENSP00000310966	CD3EAP
ENSP00000229195	CNOT2
ENSP00000258062	REPS1
ENSP00000312987	HNF4A
ENSP00000284382	CERS3
ENSP00000301071	TUBA1A
ENSP00000324124	POLR2L
ENSP00000286317	MED7
ENSP00000301522	PRDX2
ENSP00000252945	CYP2E1
ENSP00000379931	UBE2E2
ENSP00000317300	LPCAT4
ENSP00000263025	MAPK3
ENSP00000296564	KIAA0947
ENSP00000329418	SOCS1
ENSP00000363998	ITCH
ENSP00000376965	ATXN3
ENSP00000237281	FBXO30
ENSP00000367406	TAF2
ENSP00000406293	TCEA3
ENSP00000379372	GTF2A2
ENSP00000270202	AKT1
ENSP00000342007	CYP1A2
ENSP00000346240	FBXO2
ENSP00000349957	ANAPC11
ENSP00000287038	RPL30
ENSP00000451320	KIAA0271
ENSP00000286548	GNAQ
ENSP00000315212	RNF4
ENSP00000342121	RNF6
ENSP00000467676	RPS15
ENSP00000325919	PSMG2
ENSP00000227758	BIRC2
ENSP00000339795	RPL7
ENSP00000283415	LPCAT1
ENSP00000343709	SNX10
ENSP00000312397	KLHL3
ENSP00000258091	CCT7
ENSP00000319814	PCK1
ENSP00000451575	ASB2
ENSP00000289316	HIST1H2BD
ENSP00000242285	CLTA
ENSP00000373272	TRIM71
ENSP00000418447	PPP2CA
ENSP00000320543	EPN2
ENSP00000381717	UBE2D2
ENSP00000313829	KHDRBS1
ENSP00000304429	SNX7
ENSP00000360247	CYP2J2
ENSP00000205402	DLD
ENSP00000264674	MECOM
ENSP00000244458	PACSIN1
ENSP00000360372	CYP2C19
ENSP00000408994	DET1
ENSP00000433352	LMO7
ENSP00000235329	MFN2
ENSP00000349467	CALM1
ENSP00000310969	STON1
ENSP00000351926	AP2A1
ENSP00000352121	PIK3CG
ENSP00000253571	RLIM
ENSP00000275603	CCT6A
ENSP00000354775	PJA2
ENSP00000261427	UBE2K
ENSP00000219368	FA2H
ENSP00000324648	CYP2B6
ENSP00000299300	CCT2
ENSP00000337510	FBXO40
ENSP00000345988	PLCH1
ENSP00000370223	IDH3B
ENSP00000309148	KLK6
ENSP00000378306	PPP3CB
ENSP00000273430	AGTR1
ENSP00000338018	HIF1A
ENSP00000347345	POLR3H
ENSP00000337432	IL17F
ENSP00000299518	IDH3A
ENSP00000333212	CYP2U1
ENSP00000332656	ENPP7
ENSP00000388169	ARPC4
ENSP00000373873	UNKL
ENSP00000354125	EIF3B
ENSP00000438465	PGAM5
ENSP00000252115	POLDIP3
ENSP00000462023	RPL17
ENSP00000350052	POTEF
ENSP00000251337	GNAT2
ENSP00000344259	UBE2L3
ENSP00000314499	GAK
ENSP00000264775	PPAP2A
ENSP00000264071	TUBB4A
ENSP00000369424	RBBP7
ENSP00000403802	FBXO10
ENSP00000320337	PLA2G16
ENSP00000263390	MED26
ENSP00000385479	HIST2H3A
ENSP00000418379	TAF1L
ENSP00000157812	PSMC4
ENSP00000264065	DNAJC10
ENSP00000429374	RPS20
ENSP00000309830	RPL38
ENSP00000316357	USP9X
ENSP00000373399	PIP5KL1
ENSP00000294964	PKDCC
ENSP00000343027	GNAI1
ENSP00000324173	HSPA5
ENSP00000354871	PPEF1
ENSP00000355028	DZIP3
